city,language
paris,French
madrid,Spanish
berlin,German
rome,Italian
tokyo,Japanese
beijing,Chinese
colombo,Sinhala
jaffna,Tamil
new york,English
moscow,Russian
istanbul,Turkish
rio de janeiro,Portuguese
nairobi,Swahili
seoul,Korean
busan,Korean
incheon,Korean
daegu,Korean
daejeon,Korean
gwangju,Korean
suwon,Korean
ulsan,Korean
jeju,Korean
kandy,Sinhala
galle,Sinhala
negombo,Sinhala
anuradhapura,Sinhala
polonnaruwa,Sinhala
trincomalee,Tamil
batticaloa,Tamil
matara,Sinhala
kurunegala,Sinhala
ratnapura,Sinhala
ja ela,Sinhala
vavuniya,Tamil
kilinochchi,Tamil
mannar,Tamil
hambantota,Sinhala
badulla,Sinhala
monaragala,Sinhala
bangkok,Thai
delhi,Hindi
mumbai,Hindi
chennai,Tamil
bengaluru,Kannada
hyderabad,Telugu
karachi,Urdu
lahore,Urdu
dhaka,Bengali
kathmandu,Nepali
yangon,Burmese
hanoi,Vietnamese
ho chi minh city,Vietnamese
manila,Filipino
jakarta,Indonesian
kuala lumpur,Malay
singapore,English
jerusalem,Hebrew
riyadh,Arabic
dubai,Arabic
doha,Arabic
tehran,Persian
baghdad,Arabic
london,English
dublin,English
edinburgh,English
lisbon,Portuguese
brussels,Dutch
amsterdam,Dutch
vienna,German
zurich,German
geneva,French
oslo,Norwegian
stockholm,Swedish
copenhagen,Danish
helsinki,Finnish
warsaw,Polish
prague,Czech
budapest,Hungarian
bucharest,Romanian
sofia,Bulgarian
athens,Greek
belgrade,Serbian
zagreb,Croatian
sarajevo,Bosnian
tirana,Albanian
skopje,Macedonian
cairo,Arabic
lagos,English
abuja,English
cape town,Afrikaans
johannesburg,Zulu
addis ababa,Amharic
khartoum,Arabic
kampala,Swahili
dar es salaam,Swahili
luanda,Portuguese
accra,English
dakar,French
algiers,Arabic
casablanca,Arabic
tunis,Arabic
los angeles,English
chicago,English
toronto,English
vancouver,English
montreal,French
ottawa,English
mexico city,Spanish
guadalajara,Spanish
havana,Spanish
kingston,English
buenos aires,Spanish
santiago,Spanish
lima,Spanish
bogota,Spanish
quito,Spanish
montevideo,Spanish
asuncion,Spanish
caracas,Spanish
la paz,Spanish
sucre,Spanish
sydney,English
melbourne,English
brisbane,English
auckland,English
wellington,English
suva,Fijian
port moresby,Tok Pisin
florence,Italian
naples,Italian
munich,German
hamburg,German
barcelona,Spanish
valencia,Spanish
porto,Portuguese
krakow,Polish
bratislava,Slovak
vilnius,Lithuanian
riga,Latvian
tallinn,Estonian
luxembourg,French
bern,German
nice,French
antwerp,Dutch
zagreb,Croatian
osaka,Japanese
nagoya,Japanese
fukuoka,Japanese
chengdu,Chinese
shanghai,Chinese
guangzhou,Chinese
pune,Hindi
ahmedabad,Gujarati
surat,Gujarati
islamabad,Urdu
karawang,Indonesian
amman,Arabic
muscat,Arabic
kuwait city,Arabic
manama,Arabic
beirut,Arabic
marrakesh,Arabic
alexandria,Arabic
lusaka,English
maputo,Portuguese
harare,English
houston,English
miami,English
san francisco,English
boston,English
atlanta,English
recife,Portuguese
salvador,Portuguese
cali,Spanish
rosario,Spanish
adelaide,English
perth,English
canberra,English
christchurch,English
fiji,Fijian
